AREAコード,団体コード(市区町村コード),都道府県コード,"都道府県名（漢字）","区所属都市",市区町村名（漢字）
A,010006,01,北海道,,
A,011002,01,北海道,,札幌市
A,012025,01,北海道,,函館市
A,012033,01,北海道,,小樽市
A,012041,01,北海道,,旭川市
A,012050,01,北海道,,室蘭市
A,012068,01,北海道,,釧路市
A,012076,01,北海道,,帯広市
A,012084,01,北海道,,北見市
A,012092,01,北海道,,夕張市
A,012106,01,北海道,,岩見沢市
A,012114,01,北海道,,網走市
A,012122,01,北海道,,留萌市
A,012131,01,北海道,,苫小牧市
A,012149,01,北海道,,稚内市
A,012157,01,北海道,,美唄市
A,012165,01,北海道,,芦別市
A,012173,01,北海道,,江別市
A,012181,01,北海道,,赤平市
A,012190,01,北海道,,紋別市
A,012203,01,北海道,,士別市
A,012211,01,北海道,,名寄市
A,012220,01,北海道,,三笠市
A,012238,01,北海道,,根室市
A,012246,01,北海道,,千歳市
A,012254,01,北海道,,滝川市
A,012262,01,北海道,,砂川市
A,012271,01,北海道,,歌志内市
A,012289,01,北海道,,深川市
A,012297,01,北海道,,富良野市
A,012301,01,北海道,,登別市
A,012319,01,北海道,,恵庭市
A,012335,01,北海道,,伊達市
A,012343,01,北海道,,北広島市
A,012351,01,北海道,,石狩市
A,012360,01,北海道,,北斗市
A,013030,01,北海道,,当別町
A,013048,01,北海道,,新篠津村
A,013315,01,北海道,,松前町
A,013323,01,北海道,,福島町
A,013331,01,北海道,,知内町
A,013340,01,北海道,,木古内町
A,013374,01,北海道,,七飯町
A,013439,01,北海道,,鹿部町
A,013455,01,北海道,,森町
A,013463,01,北海道,,八雲町
A,013471,01,北海道,,長万部町
A,013617,01,北海道,,江差町
A,013625,01,北海道,,上ノ国町
A,013633,01,北海道,,厚沢部町
A,013641,01,北海道,,乙部町
A,013676,01,北海道,,奥尻町
A,013706,01,北海道,,今金町
A,013714,01,北海道,,せたな町
A,013919,01,北海道,,島牧村
A,013927,01,北海道,,寿都町
A,013935,01,北海道,,黒松内町
A,013943,01,北海道,,蘭越町
A,013951,01,北海道,,ニセコ町
A,013960,01,北海道,,真狩村
A,013978,01,北海道,,留寿都村
A,013986,01,北海道,,喜茂別町
A,013994,01,北海道,,京極町
A,014001,01,北海道,,倶知安町
A,014010,01,北海道,,共和町
A,014028,01,北海道,,岩内町
A,014036,01,北海道,,泊村
A,014044,01,北海道,,神恵内村
A,014052,01,北海道,,積丹町
A,014061,01,北海道,,古平町
A,014079,01,北海道,,仁木町
A,014087,01,北海道,,余市町
A,014095,01,北海道,,赤井川村
A,014231,01,北海道,,南幌町
A,014249,01,北海道,,奈井江町
A,014257,01,北海道,,上砂川町
A,014273,01,北海道,,由仁町
A,014281,01,北海道,,長沼町
A,014290,01,北海道,,栗山町
A,014303,01,北海道,,月形町
A,014311,01,北海道,,浦臼町
A,014320,01,北海道,,新十津川町
A,014338,01,北海道,,妹背牛町
A,014346,01,北海道,,秩父別町
A,014362,01,北海道,,雨竜町
A,014371,01,北海道,,北竜町
A,014389,01,北海道,,沼田町
A,014524,01,北海道,,鷹栖町
A,014532,01,北海道,,東神楽町
A,014541,01,北海道,,当麻町
A,014559,01,北海道,,比布町
A,014567,01,北海道,,愛別町
A,014575,01,北海道,,上川町
A,014583,01,北海道,,東川町
A,014591,01,北海道,,美瑛町
A,014605,01,北海道,,上富良野町
A,014613,01,北海道,,中富良野町
A,014621,01,北海道,,南富良野町
A,014630,01,北海道,,占冠村
A,014648,01,北海道,,和寒町
A,014656,01,北海道,,剣淵町
A,014681,01,北海道,,下川町
A,014699,01,北海道,,美深町
A,014702,01,北海道,,音威子府村
A,014711,01,北海道,,中川町
A,014729,01,北海道,,幌加内町
A,014818,01,北海道,,増毛町
